Model,Make,Model,Vehicle Class,Engine Size,Cylinders,Transmission,Fuel,City rate,Hwy rate,Combined rate,premium_mpg,CO2 Emissions
2021,Bentley,Continental GT Convertible,Minicompact,4,8,AM8,Z,57,34,47,23,464
2021,Bentley,Continental GT Convertible,Minicompact,6,12,AM8,Z,73,46,61,18,597
2021,Bentley,Flying Spur,Mid-size,4,8,AM8,Z,59,44,52,21,517
2021,Bentley,Flying Spur,Mid-size,6,12,AM8,Z,73,46,61,18,597
2021,BMW,228i xDrive Gran Coupe,Compact,2,4,AS8,Z,39,27,33,32,330
2021,BMW,230i xDrive Cabriolet,Subcompact,2,4,AS8,Z,42,29,36,29,360
2021,BMW,230i xDrive Coupe,Subcompact,2,4,AS8,Z,42,29,36,29,360
2021,BMW,330i xDrive Sedan,Compact,2,4,AS8,Z,36,26,31,34,312
2021,BMW,430i xDrive Coupe,Subcompact,2,4,AS8,Z,38,27,33,32,323
2021,BMW,530i xDrive Sedan,Mid-size,2,4,AS8,Z,38,28,34,32,330
2021,BMW,540i xDrive Sedan,Full-size,3,6,AS8,Z,39,29,34,31,338
2021,BMW,750i xDrive Sedan,Full-size,4.4,8,AS8,Z,53,37,45,24,450
2021,BMW,750Li xDrive Sedan,Full-size,4.4,8,AS8,Z,53,37,45,24,450
2021,BMW,Alpina B7 xDrive,Full-size,4.4,8,AS8,Z,53,37,45,24,450
2021,BMW,Alpina XB7,SUV: Standard,4.4,8,AS8,Z,59,44,52,20,514
2021,BMW,M2 Competition,Subcompact,3,6,AM7,Z,54,39,48,22,469
2021,BMW,M2 Competition,Subcompact,3,6,M6,Z,51,36,44,24,437
2021,BMW,M235i xDrive Gran Coupe,Compact,2,4,AS8,Z,39,29,35,31,341
2021,BMW,M240i xDrive Cabriolet,Subcompact,3,6,AS8,Z,43,30,37,29,365
2021,BMW,M240i xDrive Coupe,Subcompact,3,6,AS8,Z,43,30,37,29,365
2021,BMW,M340i xDrive Sedan,Compact,3,6,AS8,Z,40,29,35,31,342
2021,BMW,M440i xDrive Coupe,Subcompact,3,6,AS8,Z,40,29,35,31,342
2021,BMW,M5 Sedan,Mid-size,4.4,8,AS8,Z,61,42,52,20,517
2021,BMW,M5 Competition,Mid-size,4.4,8,AS8,Z,61,42,52,20,517
2021,BMW,M550i xDrive Sedan,Mid-size,4.4,8,AS8,Z,51,36,44,24,435
2021,BMW,M760i xDrive Sedan,Full-size,6.6,12,AS8,Z,67,45,57,19,566
2021,BMW,M8 Cabriolet,Subcompact,4.4,8,AS8,Z,61,42,52,20,517
2021,BMW,M8 Cabriolet Competition,Subcompact,4.4,8,AS8,Z,61,42,52,20,517
2021,BMW,M8 Coupe,Subcompact,4.4,8,AS8,Z,61,42,52,20,517
2021,BMW,M8 Coupe Competition,Subcompact,4.4,8,AS8,Z,61,42,52,20,517
2021,BMW,M8 Gran Coupe,Mid-size,4.4,8,AS8,Z,61,42,52,20,517
2021,BMW,M8 Gran Coupe Competition,Mid-size,4.4,8,AS8,Z,61,42,52,20,517
2021,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,53,37,45,24,450
2021,BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,Z,51,36,44,24,435
2021,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,Z,53,37,45,24,450
2021,BMW,X1 xDrive28i,SUV: Small,2,4,AS8,Z,39,29,34,31,341
2021,BMW,X2 xDrive28i,SUV: Small,2,4,AS8,Z,37,28,33,32,328
2021,BMW,X2 M35i,SUV: Small,2,4,AS8,Z,38,29,34,32,334
2021,BMW,X3 xDrive30i,SUV: Small,2,4,AS8,Z,39,31,35,30,347
2021,BMW,X3 M,SUV: Small,3,6,AS8,Z,63,46,55,19,542
2021,BMW,X3 M Competition,SUV: Small,3,6,AS8,Z,63,46,55,19,542
2021,BMW,X3 M40i,SUV: Small,3,6,AS8,Z,43,33,38,28,376
2021,BMW,X4 xDrive30i,SUV: Small,2,4,AS8,Z,39,31,35,30,347
2021,BMW,X4 M,SUV: Small,3,6,AS8,Z,63,46,55,19,542
2021,BMW,X4 M Competition,SUV: Small,3,6,AS8,Z,63,46,55,19,542
2021,BMW,X4 M40i,SUV: Small,3,6,AS8,Z,43,33,38,28,376
2021,BMW,X5 xDrive40i,SUV: Standard,3,6,AS8,Z,43,35,39,27,387
2021,BMW,X5 M,SUV: Standard,4.4,8,AS8,Z,68,49,59,18,582
2021,BMW,X5 M Competition,SUV: Standard,4.4,8,AS8,Z,68,49,59,18,582
2021,BMW,X5 M50i,SUV: Standard,4.4,8,AS8,Z,55,40,48,22,483
2021,BMW,X6 xDrive40i,SUV: Standard,3,6,AS8,Z,43,35,39,27,387
2021,BMW,X6 M,SUV: Standard,4.4,8,AS8,Z,68,49,59,18,582
2021,BMW,X6 M Competition,SUV: Standard,4.4,8,AS8,Z,68,49,59,18,582
2021,BMW,X6 M50i,SUV: Standard,4.4,8,AS8,Z,55,40,48,22,483
2021,BMW,X7 xDrive40i,SUV: Standard,3,6,AS8,Z,46,37,42,25,410
2021,BMW,X7 M50i,SUV: Standard,4.4,8,AS8,Z,59,44,52,20,514
2021,BMW,Z4 sDrive30i,Two-seater,2,4,AS8,Z,36,28,32,34,315
2021,BMW,Z4 M40i,Two-seater,3,6,AS8,Z,40,30,36,30,354
2021,Bugatti,Chiron,Two-seater,8,16,AM7,Z,101,63,84,13,835
2021,Bugatti,Chiron Pur Sport,Two-seater,8,16,AM7,Z,115,79,99,11,973
2021,Buick,Enclave,SUV: Standard,3.6,6,A9,X,49,34,42,25,422
2021,Buick,Enclave AWD,SUV: Standard,3.6,6,A9,X,51,36,45,24,443
2021,Buick,Encore,SUV: Small,1.4,4,AS6,X,36,30,33,32,326
2021,Buick,Encore (SIDI),SUV: Small,1.4,4,AS6,X,37,28,33,33,325
2021,Buick,Encore AWD,SUV: Small,1.4,4,AS6,X,38,30,34,31,342
2021,Buick,Encore AWD (SIDI),SUV: Small,1.4,4,AS6,X,39,29,34,31,342
2021,Buick,Encore GX,SUV: Small,1.2,3,AV,X,32,28,30,35,301
2021,Buick,Envision,SUV: Small,2,4,AS9,X,38,29,34,32,334
2021,Buick,Envision AWD,SUV: Small,2,4,AS9,X,40,31,36,30,355
2021,Cadillac,CT4,Compact,2,4,AS8,Z,38,26,33,32,325
2021,Cadillac,CT4,Compact,2.7,4,AS10,Z,42,29,36,30,354
2021,Cadillac,CT4 AWD,Compact,2,4,AS8,Z,39,28,34,31,341
2021,Cadillac,CT4 AWD,Compact,2.7,4,AS10,Z,43,31,37,29,371
2021,Cadillac,CT4-V,Compact,2.7,4,AS10,Z,44,31,38,28,374
2021,Cadillac,CT4-V AWD,Compact,2.7,4,AS10,Z,44,32,39,28,382
2021,Cadillac,CT5,Mid-size,2,4,AS10,Z,39,28,34,31,334
2021,Cadillac,CT5,Mid-size,3,6,AS10,Z,47,32,40,27,398
2021,Cadillac,CT5 AWD,Mid-size,2,4,AS10,Z,42,29,36,30,387
2021,Cadillac,CT5 AWD,Mid-size,3,6,AS10,Z,48,34,42,25,416
2021,Cadillac,CT5-V,Mid-size,3,6,AS10,Z,48,33,41,26,410
2021,Cadillac,CT5-V AWD,Mid-size,3,6,AS10,Z,48,34,42,25,416
2021,Cadillac,Escalade 4WD,SUV: Standard,3,6,A10,D,45,34,40,27,443
2021,Cadillac,Escalade 4WD,SUV: Standard,6.2,8,A10,Z,64,47,56,19,555
2021,Cadillac,Escalade 4WD (Without Stop-Start),SUV: Standard,6.2,8,A10,Z,66,48,58,18,571
2021,Cadillac,XT4,SUV: Small,2,4,AS9,Z,37,30,34,32,334
2021,Cadillac,XT4 AWD,SUV: Small,2,4,AS9,Z,41,31,37,29,363
2021,Cadillac,XT5,SUV: Small,2,4,AS9,Z,40,30,36,30,355
2021,Cadillac,XT5 AWD,SUV: Small,2,4,AS9,Z,42,33,38,28,379
2021,Cadillac,XT5 AWD,SUV: Small,3.6,6,AS9,X,49,35,42,25,421
2021,Cadillac,XT6 AWD,SUV: Small,2,4,AS9,Z,42,34,39,28,382
2021,Cadillac,XT6 AWD,SUV: Small,3.6,6,AS9,X,50,36,44,25,430
2021,Chevrolet,Blazer,SUV: Small,2,4,A9,X,40,30,36,30,354
2021,Chevrolet,Blazer,SUV: Small,2.5,4,A9,X,43,34,39,28,381
2021,Chevrolet,Blazer,SUV: Small,3.6,6,A9,X,45,33,40,27,395
2021,Chevrolet,Blazer AWD,SUV: Small,2,4,A9,X,40,33,37,29,363
2021,Chevrolet,Blazer AWD,SUV: Small,3.6,6,A9,X,47,34,41,26,410
2021,Chevrolet,Camaro,Subcompact,2,4,AS8,Z,41,30,36,30,355
2021,Chevrolet,Camaro,Subcompact,2,4,M6,Z,48,30,40,27,395
2021,Chevrolet,Camaro,Subcompact,3.6,6,AS10,X,48,31,40,26,402
2021,Chevrolet,Camaro,Subcompact,3.6,6,M6,X,55,34,45,24,450
2021,Chevrolet,Camaro SS,Subcompact,6.2,8,AS10,Z,55,34,45,24,450
2021,Chevrolet,Camaro SS,Subcompact,6.2,8,M6,Z,56,37,48,22,474
2021,Chevrolet,Camaro ZL1,Subcompact,6.2,8,AS10,Z,69,42,57,19,568
2021,Chevrolet,Camaro ZL1,Subcompact,6.2,8,M6,Z,65,45,56,19,558
2021,Chevrolet,Colorado,Pickup truck: Small,2.5,4,A6,X,46,36,41,26,411
2021,Chevrolet,Colorado,Pickup truck: Small,2.8,4,A6,D,45,30,38,28,470
2021,Chevrolet,Colorado,Pickup truck: Small,3.6,6,A8,X,49,35,43,25,421
2021,Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4,A6,X,48,37,43,25,429
2021,Chevrolet,Colorado 4WD,Pickup truck: Small,2.8,4,A6,D,46,32,40,27,470
2021,Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,X,53,37,46,23,454
2021,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.8,4,A6,D,50,40,46,23,522
2021,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6,A8,X,57,49,53,20,526
2021,Chevrolet,Corvette,Two-seater,6.2,8,AS8,Z,58,33,47,23,464
2021,Chevrolet,Equinox,SUV: Small,1.5,4,A6,X,34,29,32,34,317
2021,Chevrolet,Equinox AWD,SUV: Small,1.5,4,A6,X,36,30,33,32,331
2021,Chevrolet,Malibu,Mid-size,1.5,4,AV,X,31,25,28,38,280
2021,Chevrolet,Malibu,Mid-size,2,4,A9,Z,40,27,34,31,341
2021,Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,X,45,39,42,25,421
2021,Chevrolet,Silverado Custom/WT,Pickup truck: Standard,2.7,4,A8,X,45,39,42,25,421
2021,Chevrolet,Silverado,Pickup truck: Standard,3,6,A10,D,39,27,33,32,381
2021,Chevrolet,Silverado,Pickup truck: Standard,4.3,6,A6,X,57,44,51,21,509
2021,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A6,X,60,43,52,20,520
2021,Chevrolet,Silverado (Without AFM),Pickup truck: Standard,5.3,8,A6,X,63,43,54,20,538
2021,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,X,61,47,55,19,544
2021,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,E,81,61,72,15,504
2021,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A8,X,53,38,46,23,458
2021,Chevrolet,Silverado (Without DFM),Pickup truck: Standard,5.3,8,A8,X,60,41,51,21,510
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,X,47,41,44,24,440
2021,Chevrolet,Silverado 4WD Custom/WT,Pickup truck: Standard,2.7,4,A8,X,47,41,44,24,440
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,3,6,A10,D,40,35,38,28,429
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,4.3,6,A6,X,60,45,53,20,526
2021,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,4.3,6,A6,X,62,49,56,19,555
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A6,X,61,45,53,20,530
2021,Chevrolet,Silverado 4WD (Without AFM),Pickup truck: Standard,5.3,8,A6,X,65,45,56,19,557
2021,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,X,62,48,56,19,555
2021,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,E,83,62,74,14,522
2021,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.3,8,A6,X,62,50,57,19,560
2021,Chevrolet,Silverado 4WD Trail Boss (Without AFM),Pickup truck: Standard,5.3,8,A6,X,67,50,59,18,589
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A8,X,55,40,48,22,478
2021,Chevrolet,Silverado 4WD (Without DFM),Pickup truck: Standard,5.3,8,A8,X,64,43,55,20,542
2021,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A10,X,54,40,48,22,477
2021,Chevrolet,Silverado 4WD (Without Stop-Start),Pickup truck: Standard,5.3,8,A10,X,58,42,50,21,501
2021,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.3,8,A10,X,56,42,50,22,491
